

epa_id,year,gen_count,gen_tons,trans_count,trans_tons,tsdf_count,tsdf_tons
CA0000008086,1998,24,18.2353,0,0,0,0
CA0000008086,1997,8,5.62473,0,0,0,0
CA0000008086,1996,6,2.91415,0,0,0,0
CA0000008086,1993,1,0.756,0,0,0,0
CAC003275675,2024,1,1.6856,0,0,0,0
CAC003275174,2024,1,0.8428,0,0,0,0
CA9210490372,2024,2,0.7515,0,0,0,0
CA9210490372,2023,2,1.2325,0,0,0,0
CA9210490372,2022,2,0.606,0,0,0,0
CA9210490372,2019,3,1.3095,0,0,0,0
CA9210490372,2015,8,2.846,0,0,0,0
CA9210490372,2008,3,4.72257,0,0,0,0
CA9210490372,2006,4,1.384,0,0,0,0
CA9210490372,2005,7,1.33581,0,0,0,0
CA9210490372,2004,1,0.2125,0,0,0,0
CA9210490372,2003,2,0.3075,0,0,0,0
CA9210490372,2001,1,3.285,0,0,0,0
CA9210490372,2000,2,1.3,0,0,0,0
CA9210490372,1999,2,1.1925,0,0,0,0
CA9210490372,1998,1,1.25244,0,0,0,0
CA0000008219,2024,5,1.41779,0,0,0,0
CA0000008219,2023,3,1.15,0,0,0,0
CA0000008219,2021,7,0.4325,0,0,0,0
CA0000008219,2020,4,0.545,0,0,0,0
CA0000008219,2018,3,0.2385,0,0,0,0
CA0000008219,2017,11,0.7161,0,0,0,0
CA0000008219,2016,9,0.714,0,0,0,0
CA0000008219,2015,9,0.756,0,0,0,0
CA0000008219,2014,9,0.5922,0,0,0,0
CA0000008219,2013,4,0.315,0,0,0,0
CA0000008219,2012,6,0.7314,0,0,0,0
CA0000008219,2011,8,0.4228,0,0,0,0
CA0000008219,2010,5,0.7756,0,0,0,0
CA0000008219,2009,5,0.33495,0,0,0,0
CA0000008219,2008,6,0.3336,0,0,0,0
CA0000008219,2007,5,0.34605,0,0,0,0
CA0000008219,2006,2,0.10425,0,0,0,0
CA0000008219,2002,4,0.3066,0,0,0,0
CA0000008219,2001,4,0.39615,0,0,0,0
